defect,severity,state,component,owner,orignator,age,abstract
1024900,1,canceled,duplicate,pool,dcmcdoug,krupa,1,FVTR_DEV:crash@cmRemoveCachedChildrenWithInfo+0000C0
1024853,1,canceled,duplicate,sriov_pf_screen.afwp,tmhoffma,pgohil,7,HOT:FVTR_DEV:P9: Moving Slate adapter into SRIOV mode fails
1024804,2,verify,error,sysxcflash,vbodduku,pradghos,74,FVLI-1YH:cfgmgr return wrong error on cflash adap
1024776,1,working,error,sysxvio_lib,veena,krupa,78,FVTR_DEV:cluster -status MTM value is not proper
1024570,1,returned,duplicate,vrtscsi,stadi,lkambadu,9,HOT-FVLI-1VS-VSC : I/O failure on disk of virtio SCSI
1024442,1,canceled,unrecreatable,pcimlxent,shouchun,sadmordi,55,FVTR_DEV:P9:Microcode fails whiling running IO traffic
1024431,2,canceled,duplicate,pool,jgmairet,krupa,0,FOCUS:FVTR_DEV:fs rmclone hang at fsrmclone a20
1024429,2,canceled,duplicate,pool,jgmairet,krupa,0,FOCUS:FVTR_DEV:splitblock and rmdisk hung at splitblock a51
1024358,1,canceled,,esw_phyp_screen,phypscrn,nnandula,49,HOT:FVT_DEV:P9:p9zzd-fsp:Shinner adapter stuck at AA00E1A9
1024347,2,canceled,vague,cmdcfg,gruzek,pradghos,32,FVLI-1YH: cfgmgr retuned fail on cflash adapter
1024331,1,closed,error,pool,ninad,krupa,0,FVTR_DEV:crash@prNotifySafeCondWaitInternal+0002A8
1024326,2,canceled,usage,fcscreen,chandu,vinkarne,15,FVT_DEV:P9:FW update on fcs dont reflect on other ports
1024323,2,canceled,usage,fcscreen,chandu,vinkarne,14,FVT_DEV:P9:SCIOLADAPEVENTLOG ioctl fails for sailfish
1024322,1,open,,fcscreen,chandu,vinkarne,84,FVT_DEV:P9:IO fails with target cable swap with v7000 storage
1024243,1,closed,error,sysxcflash,vbodduku,pradghos,28,FVLI-1YH: vg creation failed on cflash disk
1024242,2,closed,error,pool,ninad,krupa,2,FOCUS:FVTR_DEV:fs remove hang when running psnapshot_file
1024233,1,canceled,duplicate,pool,ninad,krupa,0,FVTR_DEV:crash @csmLockDataForIOOptimized+00028C
1024232,1,canceled,duplicate,pool,ninad,dittjose1,0,FVTR_DEV:system crash@dpServerGetPGMap+000AEC & osRWLockU
1024227,1,canceled,duplicate,pool,ninad,krupa,0,FVTR_DEV:crash@xm_bad_free+00025C
1024209,2,working,error,sysxsmcr,dimpu,pdakappa,85,FVTR_DEV:kdb shows zeros in place of roce mac in peerid
1024177,2,canceled,,ofed,jlhall,pdakappa,0,FVT_DEV:smcr0 device in available state on 720 release
1024176,2,canceled,,ofed,jlhall,pdakappa,0,FVT_DEV:smcr0 device in available state on 720 release
1024175,2,canceled,,ofed,jlhall,pdakappa,0,FVT_DEV:smcr0 device in available state on 720 release
1024174,2,open,,ofed,jlhall,pdakappa,86,FVT_DEV:smcr0 device in available state on 720 release
1024143,1,closed,error,pool,ninad,krupa,2,FVTR_DEV:crash@ csmLockFileDataRangeInternal+00068C
1024140,1,canceled,fixed,pool,ninad,krupa,0,FOCUS:FVTR_DEV:crash@csmObjMyFileset+000014
1024131,2,canceled,design,vrtscsi,stadi,pradghos,1,FVLI-1VS-VSC: rmdev -Rl and Rdl failed on vrtscsi driver
1024085,1,canceled,duplicate,devscreen,scrnteam,kvaliapa,8,FVTR_DEV: crash in xm_bad_free while installing ofed file
1024080,1,closed,error,pool,ninad,krupa,2,FVTR_DEV:crash@prOpEnd+0000A8
1023997,2,canceled,design,sysxdisk,rohit,mukul,63,FVLI-1MY-VIOS: 512B disk misaligned IO behavior isn't as expect
1023987,2,canceled,design,ioscli,nmpramod,mukul,17,FVLI-1MY-VIOS: 4B misaligned IO fail with inconsistent errno
1023985,2,verify,error,ioscli,rohit,mukul,86,FVLI-1MY-VIOS: NVMe specific flags aren't set over vio client
1023976,1,canceled,,devscreen,scrnteam,sadmordi,38,FOCUS:FVTR_DEV:P9 :CX3pro adapter doesn't coming up in VIOS.
1023904,1,canceled,fixed,vrtent,jcunning,lkambadu,0,FVLI-1VS_NIC: Virtio NIC device is went into defined state
1023900,2,closed,error,vrtent,jcunning,swetha,19,FVLI-1VS_NIC: ODM Attributes Mismatches
1023894,2,canceled,fixed,vrtscsi,stadi,madhusmita,89,FVLI-1VS-VSC:No error log in errpt for qcow image unlink
1023890,3,working,error,pcimlxent,vageline,sadmordi,78,FVTR_DEV:P9 Observing debug messag while updating the microcode
1023880,1,verify,error,vrtscsi,stadi,madhusmita,73,HOT:FVLI-1VS-VSC:VM is not booting after FC port disable opr
1023700,1,canceled,usage,kvm_screen,liema,madhusmita,1,FVLI-1VS-VSC:VM is not booting with Max Configuration Setup
1023699,2,canceled,design,vrtscsi,stadi,pradghos,0,FVLI-1VS-VSC:SC_QUIESCE_IO devflags failed for SCIOCMD ioctl
1023695,1,working,error,ca_screen,krmaurya,vinkarne,92,FVT_DEV:CF crashes during init with large list
1023671,1,closed,error,vrtscsi,stadi,pradghos,23,FVLI-1VS-VSC:crash@kexitx+000878 after SCIOLREAD ioctl
1023556,2,open,,vrtscsi,stadi,pradghos,93,FVLI-1VS-VSC:lsattr is shwoing old max transfer after change
1023551,2,canceled,design,vrtscsi,stadi,pradghos,2,FVLI-1VS-VSC:IOCINFO returns wrong max_transfer size
1023548,1,closed,error,vrtscsi,stadi,madhusmita,13,FVLI-1VS-VSC:devrsrv cmd on vrstscsi disk hang the VM
1023541,1,verify,error,pool,dcmcdoug,dittjose1,9,FVTR_DEV:system crash@osRWLockUnlock+000024
1023447,1,canceled,limitation,pcishient,ashu91,pgohil,11,FVT_DEV:microcode upgrade failes for Shiner adapters
1023446,1,closed,error,vrtent,jcunning,lkambadu,8,FVLI-1VS_NIC: VLAN traffic of virtio NIC is slow
1023437,2,canceled,fixed,vrtscsi,stadi,madhusmita,93,FVLI-1VS-VSC:FW assist dump should fail on VM
1023410,2,canceled,unrecreatable,pool,gjertsen,krupa,93,FOCUS:FVT_DEV:pooladm test diskcache tcmdisplay failed (a31)
1023405,1,canceled,hardware,sysxnvme,hemanta,mukul,0,FVLI-1MY-DDD: adapter dead while eeh + dev cfg/uncfg test
1023298,1,canceled,duplicate,vrtscsi,stadi,madhusmita,25,HOT:FVLI-1VS-VSC:system crash@do_compare+000308
1023213,1,canceled,duplicate,vrtscsi,stadi,madhusmita,0,FVLI-1VS-VSC:crash@vrtcore_queue_alloc+0012C0
1023179,1,canceled,duplicate,pool,gjertsen,krupa,0,FVT_DEV:IO hang @ csmAcquireDataRangeLock+0003F8
1023171,2,closed,error,sysxsmcr,dimpu,pdakappa,26,FVTR_DEV:SMCR basic functionality not working
1023091,1,canceled,duplicate,devscreen,scrnteam,dittjose1,0,HOT:FVTR_DEV:Installation is failing with physical eth adapter
1023085,1,verify,error,vrtscsi,stadi,madhusmita,1,FVLI-1VS-VSC:crash@vrtscsi_chan_process_tm_spec_ats+00019C
1023084,1,closed,error,vrtent,jcunning,lkambadu,8,FVLI-1VS_NIC: Promiscuous mode  is not working on Virtio NIC
1023079,2,canceled,duplicate,lsmcode,faisal,archangg,0,FVLI-1MY-DDD:lsmcode  for nvme adap returns non-zero rc
1023071,2,canceled,vague,pool,ninad,madhusmita,8,FOCUS:FVTR_DEV:I/O error(HTX) after SSP cache enable/disable
1022992,1,closed,error,libofed,jlhall,kvaliapa,52,FVTR_DEV:crash in mutex_semaphore_lock while shutdown
1022824,2,closed,error,sysxvio_lib,nmpramod,archangg,35,FVLI-1MY-VIOS : Tracking K2 failures for XSD other than 3.00
1022809,3,open,,sysxvio_mgrs_lpm,aanand17,krupa,104,FVLI-161-V2:Err msg not proper if alt vscsi id is hypothetical
1022541,2,canceled,vague,dascache,vamshikrishna,madhusmita,9,FOCUS:FVTR_DEV:sspcache -status showing node status as pending
1022431,1,verify,enhancement,vrtscsi,stadi,madhusmita,4,FVLI-1VS-VSC:crash@vrtscsi_chan_process_tm_spec_ats+000090
1022419,1,returned,design,sysxcflash,cde03,pradghos,2,HOT:FVLI-1BE-REG:IO hang after context recover from multiLun
1022344,2,open,,sysxnvme,hemanta,mukul,111,FVLI-1MY-DDD:smit shouldn't have "Location Label" for nvme disk
1022343,2,open,,sysxnvme,hemanta,mukul,111,FVLI-1MY-DDD: smit doesn't allow adap max_dma_window update
1022341,1,closed,enhancement,vrtscsi,stadi,pradghos,7,FVLI-1VS-VSC:crash@ vrtscsi_tm_issue_lr_cmd+000078
1022337,2,open,,vrtscsi,stadi,madhusmita,111,FVLI-1VS-VSC:smit disk failed to change config of virtscsi disk
1022255,1,canceled,other_s/w,rspcios,nstilwe,pradghos,4,FVLI-1VS-VSC:Crash @ pal_command_ks+000104
1022239,1,closed,error,sysios,bfveale,lkambadu,8,FOCUS-FVLI-1BE-REG : system crash HTX legacy I/O and EEH inject
1022164,2,returned,duplicate,sysxcflashblock,jpallen,lkambadu,79,FVLI-1BE-REG: CAPI SPIO failed with eeh inject
1022140,2,open,,sysxnvme,hemanta,mukul,113,FVLI-1MY-DDD: I/O perf stat tools doesn't work for nvme
1022137,2,open,,sysxnvme,hemanta,mukul,109,FVLI-1MY-DDD: devrsrv command doesn't work for nvme disks
1022135,2,open,,sysxnvme,hemanta,mukul,109,FVLI-1MY-DDD: lsmpio doesn't work as expected for nvme disk
1022050,1,returned,duplicate,pcimlxcent,vmansur,swetha,0,FVLI-1D0-VNC: VNIC server dead, while runing HTX+EEH+entstat -d
1022048,1,canceled,unrecreatable,pcimlxcent,jmessing,swetha,21,FVLI-1D0-VNC: EEH permanent err while runing HTX+entstat -d+eeh
1022043,2,working,error,ofed,jlhall,pdakappa,114,FVT_DEV:OFED needs to handle interface admin state
1021990,1,canceled,duplicate,sysldr,vaslot,mukul,0,FVLI-1MY-DDD: Static breakpoint/KDB hit via unconfigure_device
1021946,1,canceled,design,vrtscsi,stadi,madhusmita,23,FVLI-1VS-VSC:VM not able to ditect Boot disk after mirrorvg
1021938,3,open,,sysxnvme,hemanta,mukul,115,FVLI-1MY-DDD: lsattr doesn't display nvme adap attr description
1021921,1,canceled,hardware,sysxcflash,vbodduku,pradghos,8,HOT:FVLI-1BE-REG:IO failed after EEH with max context scenario
1021854,2,canceled,,hsc_cim_provider,venupotluri,pgohil,12,FVLI-1D0-ACL:adding vnic with port_vlan_id attribut fails.
1021769,2,returned,external_dup,vnic_server,xqin,akt,4,FVLI_1D0: vnicserver is sending FATAL err to vnic client driver
1021768,2,canceled,,ioscli,ruchira,krupa,0,FVTR_DEV: Unable to connect to Database error in SSP BAT
1021716,2,open,,sysxvio_lib,muma,krupa,120,FVT_DEV:cluster create not proper if system/user tier disk busy
1021697,1,canceled,usage,Hypervisor.phyp,wolfrath,dittjose1,0,FOCUS:FVTR_DEV:lpm fails with error code HSCLA288 - PHYP abort
1021605,1,canceled,limitation,vrtscsi,stadi,madhusmita,23,FVLI-1VS-VSC:Attaching live disk bring VM down
1021602,2,closed,error,dascache,vamshikrishna,dittjose1,105,FVTR_DEV:max partitions shows unlimited for physical mode
1021587,1,closed,error,rdmacore_v2,jmessing,vinkarne,79,FVTR_DEV:P9:System crash @rdmacore_detach_mcast with CX3 pro
1021557,1,returned,vague,sriov_pf_screen.afwp,tmhoffma,swetha,1,FVLI-1D0-VNC: Boundry chck cond failing over vlan for jumbo 10G
1021491,2,canceled,fixed,sysxvio_lib,veena,madhusmita,1,FVT_DEV:cluster create return extra error message
1021423,1,open,,sysxinet_ipv6,jpvillam,dittjose1,125,FVT_DEV:AIX lpar crashed with 250 veth adapters added
1021416,1,canceled,duplicate,bldscreen,aubertin,mukul,18,FVLI-1MY-DDD: NVMe devices not detected on daily build
1021389,2,canceled,unrecreatable,sysxvio_mgrs_lpm,debn1,madhusmita,75,FVLI-161-SSP:after cluster restore encountered DB query failure
1021387,2,canceled,design,sysxvio_mgrs_lpm,debn1,madhusmita,4,FVLI-161-SSP:primary lu map cleanup failed after viosbr -dr
1021383,2,canceled,vague,htx_screen,preeti,dittjose1,4,FVTR_DEV:htx error after lpm with sspcaching
1021375,1,canceled,unrecreatable,PF.afwp,jjalvare,pgohil,18,FVLI-1D0-VNC:LPA Dump generated for Firmware update failure
1021374,1,canceled,other_s/w,PF.afwp,jimdonne,pgohil,40,FVLI-1D0-VNC:LPA dump generated Vf Manage pages failure
1021344,1,canceled,vague,PF.afwp,jimdonne,pgohil,7,HOT:FVLI-1D0-SRIOV VNC:not able to add vnic adapter with 10G
1021337,2,returned,usage,sysxdisk,rohit,pradghos,11,FVLI-1BE-REG:EEH and follwed lpar reboot - CAPI attach failed
1021335,2,working,error,sysxentchan,minkim,swetha,126,FVLI-1D0-VNC:Entstat not displaying properly on etherchannel
1021242,1,canceled,duplicate,sriov_pf_screen.afwp,jjalvare,pgohil,1,HOT:FVLI-1D0-VNC: P8bra-fsp CEC went into incomplete state
1021239,1,canceled,unrecreatable,pcimlxcent,jmessing,swetha,15,FVLI-1D0-VNC:Ping fail,runing netop over vlan+ping -f over base
1021187,2,working,error,sysxvio_daemon,mjmcelen,madhusmita,128,FOCUS:FVT_DEV:Requet autosnap for cache enable/disable failures
1021148,2,canceled,design,kvm_screen,stadi,madhusmita,24,FVLI-1VS-VSC:cfgmgr failed to configure individual scsi adapter
1021137,1,canceled,usage,sriov_pf_screen.afwp,tmhoffma,pgohil,0,HOT:FVLI-1D0-VNC:P8-apa CEC went into incomplete state
1021136,1,canceled,unrecreatable,pcimlxcent,jmessing,swetha,16,FVLI-1D0-VNC:ping fail,running eeh+netop+ents -d over ether
1021065,2,canceled,limitation,hsc_cim_provider,venupotluri,pgohil,16,FVLI-1D0-VNC: vnic creation fails  6553602.0 granularity
1021064,2,returned,limitation,kvm_screen,stadi,pradghos,31,FVLI-1VS-VSC:disk attach failed - QEMU command 'device_add' err
1021058,2,canceled,limitation,kvm_screen,stadi,madhusmita,31,FVLI-1VS-VSC:new disk add live failed
1021053,1,open,,pool,janet,krupa,129,FOCUS:FVTR_DEV:crash @ txContext+000078
1020979,1,open,,esw_phyp_screen,phypscrn,vinkarne,132,HOT:FVT_DEV:P9:zzfp252:CEC reboots with EEH on  network adapter
1020977,1,closed,error,PF.afwp,jjalvare,pgohil,17,HOT:FVLI-1D0-VNC:system went into incomplete state
1020934,1,closed,error,vnic,jcunning,swetha,87,FVBLKLI-1D0-VNC: VNIC Err, while runing ndd_r+entstat+ping
1020891,1,canceled,duplicate,hsc_cim_provider,pywang,pgohil,1,HOT:FVLI-1D0-VNC:VNIC creation command hangs on hmc
1020876,1,canceled,vague,sriov_pf_screen.afwp,jjalvare,swetha,1,HOT:FVLI-1D0-VNC:CEC went into incomplete state with interf up
1020868,2,canceled,usage,entcore_v1,balt,sadmordi,0,FVT_DEV:P9: lsresource -l entX  giving error
1020848,2,canceled,unrecreatable,dascache,vamshikrishna,dittjose1,0,FVT_DEV:cache_mgt doesnt work with su - padmin prefix.
1020800,1,canceled,vague,sriov_pf_screen.afwp,ahsmirza,nnandula,1,FVLI-1D0-ACL:VF with native VLAN 1 and tagging 3
1020795,1,verify,error,PF.afwp,csudhir,swetha,119,FVLI-1D0-ACL:VF with differnt PVID are pinging
1020794,1,canceled,unrecreatable,sriov_pf_screen.afwp,ahsmirza,nnandula,3,HOT:FVLI-1D0-ACL:VF with all_allowed_macs &all_allow Fails ping
1020769,1,returned,vague,pcimlxcent,vmansur,akt,0,FVLI-1DO-VNC:- adapter dead, while running HTX+ EEH+entstat -d
1020690,1,closed,error,sysxsmcr,sgundura,kvaliapa,55,FVLI_81P:crash in smcr_destroy_clc_thread and in_pcbdetach
1020684,1,canceled,fixed,rspcios,nstilwe,akt,0,HOT:FVLI-1D0-VNC : VIOS crashed while creating the vNIC adapter
1020674,1,canceled,,entcore_v2,balt,akt,0,HOT:FVLI-1D0-VNC: VIOS hit crash brkpnt eeh_enable_handle+
1020666,2,canceled,fixed,dascache,sangeek,dittjose1,70,FVLI-1J9-FVT:Node information wrong for one node.
1020573,2,returned,design,kvm_screen,stadi,pradghos,32,FVLI-1VS-VSC:driver Q < nchan still adapter in available state.
1020562,3,working,error,sysxvio_mgrs_lpm,debn1,krupa,136,FVT_DEV:No error msg for getSSP when pool disk is failed
1020560,1,returned,other_s/w,kvm_screen,stadi,pradghos,7,FVLI-1VS-VSC:crash@do_compare+0002F8
1020556,3,closed,error,sysxvio_lib,nmpramod,archangg,67,FVLI-1MY-VIOS:libtest vaidtn fails for PV ext query of NVMe
1020527,1,canceled,unrecreatable,sysxsmcr,harikm,pdakappa,4,RECR:FVLI_81P:AIX crash while testing with netop when smcr is e
1020526,1,closed,error,sysxsmcr,harikm,pdakappa,4,FVLI_81P:OS crash with abend_trap while executing netop
1020525,1,closed,error,sysxsmcr,vmansur,pdakappa,30,HOT: FVLI_81P:AIX crash with smcr_xmit_mbuf while running neto
1020524,1,returned,duplicate,sysxsmcr,sgundura,pdakappa,1,HOT:FVLI_81P:AIX crash with smcr_free_tx_wr whle exec netop
1020443,1,canceled,vague,BusTransport.phyp,ramhazar,akt,13,FVLI-1D0-VNC: VNIC adapter is in defined state - why is the slo
1020440,2,canceled,unrecreatable,pcimlxcent,jmessing,swetha,27,FVLI-1D0-VNC : natural eeh entry in VIOS
1020367,1,canceled,usage,hmc_rmc_api,pritsin4,archangg,2,FVTR_DEV : migrlpar command hangs during validation
1020355,1,canceled,limitation,sysxcflash,vbodduku,pradghos,8,FVLI-1BE-REG: CAPI Adapter went into bad state after EEH
1020311,1,canceled,other_s/w,entcore_v2,jmessing,pgohil,0,HOT:FVLI-1D0-VNC: VIOS hit crash brkpnt at vndd_rx_comp+000AC8
1020306,2,closed,error,sysxvio_lib,nmpramod,archangg,0,FVLI-1MY-VIOS:Delete event not logged for NVME adapter
1020270,3,closed,error,sysxvio_lib,nmpramod,archangg,72,FVLI-1MY-VIOS : libtest validtn fails xsd2.00 for nvme add evnt
1020263,2,canceled,limitation,sysxvio_mgrs_lpm,graneal,shiparam,0,FVLI-0P2-FVT:vioservice with passthru is failing after cltrl+c
1020170,3,closed,error,sysxvio_lib,nmpramod,archangg,0,FVLI-1MY-VIOS : libtest validation fails for NVMePORT
1020168,1,closed,error,sysxcflash,vbodduku,lkambadu,38,FVLI-1BE-REG : AIX system crash durning HTX I/O and EEH inject
1020166,2,returned,other_s/w,kvm_screen,liema,pradghos,2,FVLI-1VS-VSC:VM start is failed with mpio configuration
1020161,2,closed,error,sysxvio_lib,nmpramod,archangg,73,FVLI-1MY-VIOS : Incorrect value for phy vol size in base inv qu
1020147,1,canceled,vague,htx_screen,kavinash,madhusmita,1,HOT:FVLI-1J9-FVT:htx error after pv remove operation
1020134,1,closed,error,sysxsmcr,sgundura,pdakappa,9,FVLI_81P:AIX crash with bad IAR
1020130,1,canceled,design,sysxvio_mgrs_lpm,debn1,madhusmita,1,FVLI-161-SSP:viosbr dr failed to restore cluster
1020102,2,returned,vague,sriov_pf_screen.afwp,tmhoffma,swetha,0,FVLI-1D0:Adapter taking 30 mins to convrt from ded to sriov mod
1020084,2,canceled,design,hsc_cim_provider,pywang,nnandula,1,FVLI-1D0:User must be restricted to create > max VF- p8apa-fsp
1020058,1,closed,error,sysxsmcr,arunsp,pdakappa,10,FVLI_81P:entering static brkpoint while runing htx on 3 .
1020052,2,closed,error,sysxvio_daemon,mjmcelen,madhusmita,63,FVLI-1J9-FVT:sspcache cmd not accessible from "padmin"
1020045,2,closed,error,sysxsmcr,dimpu,pdakappa,71,FVLI_81P:rmdev command hang
1020026,2,returned,unrecreatable,ca_screen,krmaurya,vinkarne,129,FVT_DEV:CF server crash  in client_history.h
1020010,1,closed,error,sysxsmcr,dimpu,kvaliapa,4,HOT:FVLI_81P: crash in smcr_process_llc_test_link_req_offload
1019976,2,returned,fixed,dascache,vamshikrishna,dittjose1,143,FVLI-1J9-FVT:status shows "Pending" for one node after lpm
1019961,1,canceled,duplicate,pool,gjertsen,madhusmita,3,FVLI-1J9-FVT:clstartstop failing when sspcache is enable
1019959,1,canceled,unrecreatable,dascache,vamshikrishna,madhusmita,4,RECR: FVLI-1J9-FVT:sspcache failing after pv remove operation  
1019928,2,canceled,unrecreatable,rdmacore_v2,jmessing,pdakappa,17,FVT_DEV:RDMA resource busy reported on CX4 adapter
1019922,1,canceled,duplicate,sysxvio_daemon,lakshmiy,madhusmita,3,FVLI-1J9-FVT:sspcache failed with DR Query error after RU
1019918,2,open,,pool,jgmairet,krupa,146,FVT_DEV: chsp got hung when running SSP PM_BP
1019907,1,canceled,duplicate,sysxsmcr,vmansur,pdakappa,0,FVLI_81P:crash while executing netop in RR duplex mode CX4
1019906,1,closed,error,sysxsmcr,dimpu,kvaliapa,62,FVLI_81P:system hang in smcr_rm_device_trigger_del_link
1019904,1,canceled,duplicate,sysxsmcr,vmansur,pdakappa,0,FVLI_81P:localhost crash while running netop on CX4
1019889,1,canceled,duplicate,sysxsmcr,vmansur,kvaliapa,0,FVLI_81P:system crash in smcr_destroy_device
1019886,1,canceled,duplicate,sysxsmcr,sgundura,pdakappa,0,FVLI_81P:IPV4/V6 Comm uses TCP when SMCR is enabled on CX
1019849,2,returned,unrecreatable,sysxsmcr,arunsp,pdakappa,14,FOCUS:FVLI_81P:CX4 adapter ifconfig down detach cmd hang
1019805,1,canceled,duplicate,PF.afwp,kulich,nnandula,0,HOT:FVLI-1D0:Dynamic VF addition fails
1019797,1,canceled,duplicate,PF.afwp,kulich,nnandula,1,HOT:FVLI-1D0:LPAR doesnt reflect the VF configured in profile
1019796,2,canceled,vague,sriov_pf_screen.afwp,tmhoffma,swetha,0,FVLI-1D0: Dynamic VF deletion fails after shutdown & activate
1019795,3,open,,sysxnvme,hemanta,mukul,147,FVLI-1MY-DDD: typo error in errpt for eeh error description
1019794,2,canceled,unrecreatable,pcimlxcent,jmessing,swetha,18,FVLI-1D0: Receiving jumbo packet with jumbo frames disabled
1019793,2,open,,sysxnvme,hemanta,mukul,119,FVLI-1MY-DDD: disk size for nvme is reported incorrectly
1019789,2,canceled,duplicate,rsct,ravikiran,krupa,0,FVTR_DEV:coredump after rebooting cluster nodes
1019781,1,returned,vague,sysxsmcr,sgundura,pdakappa,4,HOT:FVLI_81P:IPv6 with CX4 always crash with tcp_output
1019766,2,canceled,hardware,devscreen,scrnteam,madhusmita,0,FVLI-1J9-FVT:HTX error reported while performing pv remove
1019758,2,canceled,duplicate,sysxsmcr,sgundura,pdakappa,1,FVLI_81P:ftp connection reset with peer on CX4 adapter
1019757,1,closed,error,sysxsmcr,dimpu,kvaliapa,1,HOT:FVLI_81P: system crash in smcr_free_rmb_pool_timer_init
1019726,2,closed,error,sysxsmcr,jlhall,pdakappa,76,SMCR can't be uninstalled if SMCR device definition is removed
1019713,1,closed,error,sysxsmcr,vmansur,kvaliapa,8,FVLI_81P:system crash in smcr_packet_trace
1019682,1,closed,error,pool,ninad,madhusmita,6,FVLI-1J9-FVT:Pool hang while performing failgrp remove
1019673,2,open,,pool,gjertsen,krupa,148,FOCUS:FVTR_DEV:cluster -list got hung in SSP PM_BP tests
1019670,1,canceled,hardware,fcscreen,chandu,krupa,23,FVLI-161-V2: getlsi/getadapter failed for NPIV
1019654,1,canceled,duplicate,sysxsmcr,arunsp,kvaliapa,0,FVLI_81P:system crash in query_matching_roce_device
1019608,1,closed,error,rdmacore_v2,jmessing,pdakappa,80,FVLI_81P:AIX crash while installing ofed fielsets
1019590,1,closed,error,sysxsmcr,vmansur,pdakappa,9,FVLI_81P:host became unreachable while configuring htx
1019572,1,canceled,fixed,pool,gjertsen,madhusmita,0,FOCUS:FVLI-1J9-FVT:system crash@ioPGMapIterAction+000240
1019561,1,closed,error,sysxsmcr,arunsp,kvaliapa,7,FVLI_81P:data communication not happening via smcr forIPv6
1019547,1,closed,error,sysxvio_mgrs_lpm,debn1,madhusmita,13,FVLI-161-SSP:cluster restore failed with DB error
1019532,2,open,,vrtscsi,stadi,pradghos,149,FVLI-1VS-VSC: smitty disk throwing error for virtSCSI disk
1019529,1,canceled,duplicate,sysxsmcr,arunsp,kvaliapa,0,HOT:FVLI_81P: system crash in  smcr_destroy_clc_thread
1019525,1,closed,error,sysxnvme,hemanta,mukul,21,FVLI-1MY-VIOS: Hang in disk cmds - mkvg/lspv -free/bootinfo -s
1019524,2,open,,pool,gjertsen,madhusmita,149,FVLI-1J9-FVT:HTX error occure when caching was enable for pool
1019521,2,verify,enhancement,vrtscsi,stadi,pradghos,55,FVLI-1VS-VSC:Smitty showing redundant option for vrtSCSI
1019518,2,closed,error,vrtscsi,stadi,pradghos,134,FVLI-1VS-VSC: ODM PdCn values are missing for virtSCSI
1019511,1,canceled,fixed,vrtent,jcunning,lkambadu,6,FVLI-1VS_NIC: IPV6 VLAN interface fails to ping
1019508,3,canceled,other_s/w,sysxvio_mgrs_lpm,trupesh,krupa,1,FVLI-161-SSP:getLSI err msg not proper for multiple client IDs
1019507,1,canceled,duplicate,PF.afwp,karkastu,pgohil,1,HOT:FVLI-1D0:adding VF failes from PF 1 - LPADUMPs seen
1019504,2,returned,design,vrtent,jcunning,lkambadu,6,FVLI-1VS_NIC: Ambiguous display of MTU value ' netstat -I en1'
1019494,1,closed,error,sysxvio_mgrs_lpm,debn1,madhusmita,13,FVLI-161-SSP:viobr dr failed to restore cluster
1019402,1,canceled,duplicate,sriov_pf_screen.afwp,tmhoffma,pgohil,0,HOT:FVLI-1D0:adding VF fails aft max_eth_logical_port chg
1019400,1,canceled,unrecreatable,PF.afwp,jjalvare,pgohil,7,HOT:FVLI-1D0:CEC went into incomplete when max_eth_logical_port
1019356,1,canceled,unrecreatable,sysxvio_daemon,mjmcelen,madhusmita,12,RECR: FVLI-1J9-FVT:sspcache disable failed after pv remove op  
1019273,1,canceled,duplicate,sysxlvm,lakshmiy,madhusmita,3,FVLI-1J9-FVT:sspcache failed to enable after cluster rest
1019268,2,closed,enhancement,PF.afwp,karkastu,pgohil,19,FVLI-1D0:Default configuration for SRIOV should be 2
1019265,2,returned,limitation,kvm_screen,stadi,pradghos,56,FVLI-1VS-VSC:Disk still in "Available" after detach online
1019261,2,canceled,fixed,ioscli,arun392,mukul,20,FVLI-1MY-VIOS: lspv -size not working for nvme
1019259,1,returned,limitation,kvm_screen,stadi,pradghos,49,FVLI-1VS-VSC:online attach and detach of scsi adapter is failed
1019256,3,verify,error,ioscli,arun392,mukul,133,FVLI-1MY-VIOS: mkvg on nvme disk attempts incorrect mkdev
1019251,1,returned,limitation,kvm_screen,nstilwe,pradghos,31,FVLI-1VS-VSC:VM went into not respnding state after snap-revert
1019248,1,working,error,sysxvio_mgrs_lpm,debn1,madhusmita,153,FVT_DEV: viosbr backup failed
1019177,1,canceled,fixed,pcimlxcent,balt,pgohil,3,FVLI-1D0: initializing VF fails in OS
1019148,1,closed,investigate,PF.afwp,kulich,nnandula,21,HOT:FVLI-1D0:SRIOV:512MB BAR - Adapter initialization fails wit
1019142,1,canceled,,sriov_pf_screen.afwp,tmhoffma,nnandula,0,HOT:FVLI-1D0:CEC in incomplete st after shutdown-actiavte LPAR
1019141,1,canceled,fixed,pcimlxcent,jmessing,sadmordi,1,FVLI-1D0-VNC: IP configuration is failing on vNIC
1019136,1,canceled,,sriov_pf_screen.afwp,tmhoffma,nnandula,0,FVLI-1D0: VF deletion fails with FW OP extn error
1019127,3,canceled,unrecreatable,sysxvio_mgrs_lpm,ruchira,krupa,61,FVLI-161-V2: putLSI with 3.00 did not fail for hitachi
1019078,1,closed,error,sysxvio_daemon,mjmcelen,madhusmita,21, FVLI-1J9-FVT:sspcache failed to enabled after RU
1019020,1,canceled,usage,hdw_everglades,restrad,akt,1,HOT:FVLI-1D0-EG VF not listed w/t AdapFirwar w/t FCODE support
